Publisher_ID,Publishers
472,TaleWorlds Entertainment
473,Tann
474,Team Cherry
475,Team Reptile
476,Team17
477,Team17 Digital Ltd
478,"Team17,Yooreka Studio (China)"
479,Techland
480,Terad Games
481,The Fox Knocks
482,The Fun Pimps Entertainment LLC
483,The Indie Stone
484,The Irregular Corporation
485,The Meta
486,Thermite Games
487,THQ Nordic
488,Thunder Lotus Games
489,Thunderful Publishing
490,tinyBuild
491,TLM Partners
492,tobyfox
493,Toplitz Productions
494,Toukana Interactive
495,Tour De Pizza
496,Travis Miller
497,Tripwire Interactive
498,Tripwire Presents
499,Triternion
500,Tuxedo Labs
501,"Twin Sails Interactive,CE-Asia"
502,Two Star Games
503,TwoWizards
504,Ubisoft
505,Ubisoft Entertainment
506,Unexpected
507,Unknown Worlds Entertainment
508,USM
509,VALOFE
510,Valve
511,Vankrupt Games
512,Vector3 Studio
513,"Versus Evil,Obsidian Entertainment"
514,Victura
515,VOID Interactive
516,VRChat Inc.
517,WAKUWAKU
518,Wallpaper Engine Team
519,Walternate Realities
520,Wargaming Group Limited
521,"Warhorse Studios,Prime Matter"
522,Warner Bros. Games
523,"Warner Bros. Games,Warner Bros. Interactive Entertainment"
524,Warner Bros. Interactive Entertainment
525,WarpFrog
526,Watashi Games
527,WB Games
528,WhisperGames
529,World Makers
530,Wube Software LTD.
531,Xbox Game Studios
532,XD
533,Xiexe
534,Xinyuan Studio
535,"XSEED Games,Marvelous USA, Inc."
536,"XSEED Games,Marvelous USA, Inc.,Marvelous"
537,YAGER
538,Yogscast Games
539,Yooreka Studio
540,ZA/UM
541,Zeekerss
542,ZTEK Studio
543,Epic Games
544,Eagle Dynamics SA
