Developer_ID,Developers
499,"Naughty Dog LLC,Iron Galaxy Studios"
500,Naughty Dog LLC
501,"Insomniac Games,Nixxes Software"
502,"Housemarque,Climax Studios"
503,"Guerrilla,Nixxes Software"
504,Guerrilla
505,Bend Studio
506,Arrowhead Game Studios
507,SimRail S.A.
508,Red Dot Games
509,MeanAstronauts
510,GameHunters
511,Crazy Rocks
512,PlayWithFurcifer
513,Pocketpair
514,Polymorph Games
515,poncle
516,Pontypants
517,"PopCap Games, Inc."
518,MassHive Media
519,SOFTSTAR ENTERTAINMENT
520,Preferred Networks
521,President Studio
522,Nine Dots Studio
523,Nightdive Studios
524,Squad
525,Moon Studios GmbH
526,Intercept Games
527,Psyonix LLC
528,Quantic Dream
529,Dreamside Interactive
530,High North Studios AS
531,Fury Studios
532,Bytten Studio
533,Brainwash Gang
534,Bippinbits
535,RAYKA STUDIO
536,Realm Archive
537,Rebellion
538,Rebuilt Games
539,Rec Room
540,Red Barrels
541,Red Hook Studios
542,Red Nexus Games Inc.
543,RedCandleGames
544,Re-Logic
545,Renderise
546,Lazy Bear Games
547,Digital Sun
548,RobTop Games
549,RocketWerkz
550,"Rockstar North,Rockstar Toronto"
551,Rockstar North
552,Rockstar Games
553,RubberBandGames
554,Rusty Lake
555,Useless Machines
556,Saber Interactive Inc
557,Sabotage Studio
558,Sad Panda Studios
559,Samar Studio
560,Samurai Games
561,Sandbox Interactive GmbH
562,"Sastrei Studios, LLC"
563,Steel Wool Studios
564,SCS Software
565,Two Point Studios
566,Sports Interactive
567,Sonic Team
568,SEGA
569,Ryu Ga Gotoku Studio
570,Relic Entertainment
571,Playsport Games
572,"Creative Assembly,Feral Interactive"
573,CREATIVE ASSEMBLY
574,ATLUS
575,AMPLITUDE Studios
576,"CREATIVE ASSEMBLY,Feral Interactive"
577,"CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)"
578,"CREATIVE ASSEMBLY,Feral Interactive (Mac)"
579,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
580,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)"
581,"SgtOkiDoki,Vilaskis,TheLiquidHorse"
582,ShareX Team
583,Shining Rock Software LLC
584,Shiro Games
585,Shugasu GmbH
586,Siege Camp
587,"Maxis ,Electronic Arts"""
588,Studio Surgical Scalpels
589,Skywall Studios LLC
590,The Artistocrats
591,Slitherine Ltd.
592,Sloclap
593,Smartly Dressed Games
594,SMG Studio
595,SNK CORPORATION
596,"Softstar Technology (Beijing) Co.,Ltd"
597,CMGE
598,Sokpop Collective
599,SomethingExtra
600,SoulGame Studio
601,Recreate Games
602,Soviet Games
603,Chime Corporation
604,The Swordman Studio
605,Metal Head Games
606,"Squanch Games, Inc."
607,"Square Enix,tri-Ace"
608,"Square Enix,TOSE CO., LTD."
609,"Square Enix,PlatinumGames Inc."
610,"Square Enix,LANCARSE Ltd."
611,"Square Enix,ARTDINK"
